时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-06-04 05:59:55,,,,,,执行后台命令,save hold,,,,
2023-06-04 11:59:55,,,,,,执行后台命令,save hold,,,,
2023-06-04 17:59:55,,,,,,执行后台命令,save hold,,,,
2023-06-04 21:40:51,,Tianyi5881,,,,开始进服,,,,,xuid=2535464184085653
2023-06-04 21:41:29,主世界,Tianyi5881,1,303,-0,进入服务器,,,,,xuid=2535464184085653
2023-06-04 21:42:02,主世界,Tianyi5881,-2,303,11,使用物品点击方块,minecraft:polished_blackstone_button,-3,302,10,使用物品： 类型：
2023-06-04 21:42:02,主世界,Tianyi5881,-2,303,11,方块接受玩家互动,minecraft:polished_blackstone_button,-3,302,10,
2023-06-04 21:42:17,主世界,Tianyi5881,951,194,638,攻击,掠夺者,954,192,637,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:17,主世界,Tianyi5881,952,194,637,攻击,掠夺者,953,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:18,主世界,Tianyi5881,952,194,637,攻击,掠夺者,954,193,635,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:18,主世界,Tianyi5881,952,194,637,攻击,掠夺者,954,193,635,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:18,主世界,Tianyi5881,952,194,637,攻击,掠夺者,954,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:18,主世界,Tianyi5881,952,194,637,攻击,掠夺者,954,193,637,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:19,主世界,Tianyi5881,952,194,637,使用物品,钻石剑 +7 1561,,,,类型：minecraft:diamond_sword
2023-06-04 21:42:19,主世界,Tianyi5881,952,194,637,使用物品,钻石剑 +7 1561,,,,类型：minecraft:diamond_sword
2023-06-04 21:42:19,主世界,箭,,,,弹射物击中,Tianyi5881,952,194,637,
2023-06-04 21:42:19,主世界,箭,,,,弹射物击中,Tianyi5881,952,194,637,
2023-06-04 21:42:19,主世界,箭,,,,弹射物击中,Tianyi5881,952,194,637,
2023-06-04 21:42:19,主世界,Tianyi5881,952,194,637,攻击,掠夺者,954,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:19,主世界,掠夺者,954,192,636,生物死亡,,,,,由于Tianyi5881的攻击
2023-06-04 21:42:20,主世界,Tianyi5881,950,194,640,使用物品点击方块,minecraft:snow_layer,952,192,637,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:20,主世界,Tianyi5881,950,194,640,放置方块,minecraft:snow_layer,952,192,637,
2023-06-04 21:42:20,主世界,Tianyi5881,949,194,640,使用物品点击方块,minecraft:snow_layer,953,192,637,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:20,主世界,Tianyi5881,949,194,640,放置方块,minecraft:snow_layer,953,192,637,
2023-06-04 21:42:20,主世界,箭,,,,弹射物击中,Tianyi5881,948,193,639,
2023-06-04 21:42:21,主世界,箭,,,,弹射物击中,掠夺者,950,192,637,
2023-06-04 21:42:21,主世界,箭,,,,弹射物击中,Tianyi5881,947,193,638,
2023-06-04 21:42:21,主世界,箭,,,,弹射物击中,Tianyi5881,946,193,638,
2023-06-04 21:42:22,主世界,Tianyi5881,948,193,638,使用物品点击方块,minecraft:snow_layer,950,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:22,主世界,Tianyi5881,948,193,638,放置方块,minecraft:snow_layer,950,192,636,
2023-06-04 21:42:23,主世界,Tianyi5881,949,194,637,使用物品点击方块,minecraft:snow_layer,953,193,633,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:23,主世界,Tianyi5881,949,194,637,放置方块,minecraft:snow_layer,953,193,633,
2023-06-04 21:42:23,主世界,箭,,,,弹射物击中,Tianyi5881,949,194,637,
2023-06-04 21:42:23,主世界,Tianyi5881,947,194,637,攻击,掠夺者,948,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:23,主世界,箭,,,,弹射物击中,Tianyi5881,946,194,637,
2023-06-04 21:42:24,主世界,Tianyi5881,945,194,637,攻击,掠夺者,947,193,635,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:24,主世界,Tianyi5881,945,194,637,攻击,掠夺者,947,192,635,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:24,主世界,Tianyi5881,944,194,637,使用物品点击方块,minecraft:snow_layer,948,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:24,主世界,Tianyi5881,944,194,637,放置方块,minecraft:snow_layer,948,192,636,
2023-06-04 21:42:24,主世界,Tianyi5881,945,194,637,使用物品点击方块,minecraft:snow_layer,948,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:24,主世界,Tianyi5881,945,194,637,放置方块,minecraft:snow_layer,948,192,636,
2023-06-04 21:42:25,主世界,Tianyi5881,946,194,636,使用物品点击方块,minecraft:snow_layer,950,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:25,主世界,Tianyi5881,946,194,636,放置方块,minecraft:snow_layer,950,192,634,
2023-06-04 21:42:25,主世界,Tianyi5881,947,194,636,使用物品点击方块,minecraft:snow_layer,951,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:25,主世界,Tianyi5881,947,194,636,放置方块,minecraft:snow_layer,951,192,636,
2023-06-04 21:42:25,主世界,箭,,,,弹射物击中,Tianyi5881,948,194,636,
2023-06-04 21:42:25,主世界,箭,,,,弹射物击中,掠夺者,948,192,636,
2023-06-04 21:42:25,主世界,Tianyi5881,948,194,636,攻击,掠夺者,948,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:25,主世界,箭,,,,弹射物击中,Tianyi5881,948,194,636,
2023-06-04 21:42:25,主世界,Tianyi5881,949,194,636,使用物品点击方块,minecraft:snow,953,192,638,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:25,主世界,Tianyi5881,949,194,636,放置方块,minecraft:snow,953,192,638,
2023-06-04 21:42:25,主世界,Tianyi5881,952,195,636,使用物品点击方块,minecraft:snow,954,193,638,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:25,主世界,Tianyi5881,952,195,636,放置方块,minecraft:snow,954,193,638,
2023-06-04 21:42:26,主世界,箭,,,,弹射物击中,Tianyi5881,953,194,636,
2023-06-04 21:42:27,主世界,箭,,,,弹射物击中,Tianyi5881,953,194,636,
2023-06-04 21:42:27,主世界,箭,,,,弹射物击中,Tianyi5881,953,195,636,
2023-06-04 21:42:27,主世界,箭,,,,弹射物击中,Tianyi5881,953,195,636,
2023-06-04 21:42:28,主世界,箭,,,,弹射物击中,Tianyi5881,955,194,636,
2023-06-04 21:42:28,主世界,箭,,,,弹射物击中,掠夺者,953,192,637,
2023-06-04 21:42:29,主世界,箭,,,,弹射物击中,Tianyi5881,955,194,636,
2023-06-04 21:42:30,主世界,箭,,,,弹射物击中,Tianyi5881,955,194,637,
2023-06-04 21:42:31,主世界,箭,,,,弹射物击中,Tianyi5881,955,194,637,
2023-06-04 21:42:31,主世界,Tianyi5881,955,194,637,攻击,掠夺者,953,192,635,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:31,主世界,掠夺者,953,192,635,生物死亡,,,,,由于Tianyi5881的攻击
2023-06-04 21:42:31,主世界,箭,,,,弹射物击中,掠夺者,954,192,636,
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,使用物品点击方块,minecraft:snow_layer,951,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,放置方块,minecraft:snow_layer,951,192,634,
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,使用物品点击方块,minecraft:snow_layer,951,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,放置方块,minecraft:snow_layer,951,192,634,
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,攻击,掠夺者,952,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:31,主世界,掠夺者,952,192,636,生物死亡,,,,,由于Tianyi5881的攻击
2023-06-04 21:42:31,主世界,Tianyi5881,954,194,637,捡起物品,箭,953,192,635,1个
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,攻击,掠夺者,953,192,636,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:32,主世界,掠夺者,953,192,636,生物死亡,,,,,由于Tianyi5881的攻击
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,使用物品点击方块,minecraft:snow_layer,950,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,放置方块,minecraft:snow_layer,950,192,634,
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,捡起物品,箭,952,192,636,2个
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,使用物品点击方块,minecraft:snow_layer,950,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,放置方块,minecraft:snow_layer,950,192,634,
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,捡起物品,灾厄村民旗帜,953,192,635,1个
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,使用物品点击方块,minecraft:snow_layer,951,192,634,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,放置方块,minecraft:snow_layer,951,192,634,
2023-06-04 21:42:32,主世界,Tianyi5881,954,194,637,捡起物品,箭,953,192,635,2个
2023-06-04 21:42:33,主世界,Tianyi5881,954,194,637,使用物品,钻石剑 +7 1561,,,,类型：minecraft:diamond_sword
2023-06-04 21:42:40,主世界,Tianyi5881,939,193,647,使用物品点击方块,minecraft:undyed_shulker_box,939,191,647,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:40,主世界,Tianyi5881,939,193,647,打开容器,minecraft:undyed_shulker_box,939,191,647,
2023-06-04 21:42:40,主世界,Tianyi5881,939,193,647,方块接受玩家互动,minecraft:undyed_shulker_box,939,191,647,
2023-06-04 21:42:43,主世界,Tianyi5881,939,193,647,容器 取出物品,minecraft:undyed_shulker_box,939,191,647,从第19号槽 取出1个 冰烬岭
2023-06-04 21:42:44,主世界,Tianyi5881,939,193,647,关闭容器,minecraft:undyed_shulker_box,939,191,647,
2023-06-04 21:42:46,主世界,Tianyi5881,939,193,647,使用物品点击方块,minecraft:ender_chest,939,191,649,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:46,主世界,Tianyi5881,939,193,647,打开容器,minecraft:ender_chest,939,191,649,
2023-06-04 21:42:46,主世界,Tianyi5881,939,193,647,方块接受玩家互动,minecraft:ender_chest,939,191,649,
2023-06-04 21:42:49,主世界,Tianyi5881,939,193,647,关闭容器,minecraft:ender_chest,939,191,649,
2023-06-04 21:42:50,主世界,Tianyi5881,939,194,647,使用物品点击方块,minecraft:ender_chest,939,191,649,使用物品：钻石剑 +7 1561 类型：minecraft:diamond_sword
2023-06-04 21:42:50,主世界,Tianyi5881,939,194,647,打开容器,minecraft:ender_chest,939,191,649,
2023-06-04 21:42:50,主世界,Tianyi5881,939,194,647,方块接受玩家互动,minecraft:ender_chest,939,191,649,
2023-06-04 21:42:52,主世界,Tianyi5881,939,194,647,容器 取出物品,minecraft:ender_chest,939,191,649,从第0号槽 取出1个 弓 384
2023-06-04 21:42:57,主世界,Tianyi5881,939,194,647,容器 放入物品,minecraft:ender_chest,939,191,649,从第0号槽 放入1个 弓 384
2023-06-04 21:43:01,主世界,Tianyi5881,939,194,647,关闭容器,minecraft:ender_chest,939,191,649,
2023-06-04 21:43:06,主世界,Tianyi5881,945,192,655,捡起物品,火药,947,190,656,1个
2023-06-04 21:43:39,主世界,Tianyi5881,1015,208,701,使用物品,钻石剑 +7 1561,,,,类型：minecraft:diamond_sword
2023-06-04 21:43:48,主世界,Tianyi5881,1009,210,709,使用物品点击方块,minecraft:stone,1005,205,710,使用物品：凝灰岩 类型：minecraft:tuff
