时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-05-09 00:00:33,,Liten PanJun,,,,开始进服,,,,,xuid=2535423745242272
2023-05-09 00:01:37,,Liten PanJun,,,,离开服务器,,,,,
2023-05-09 00:24:08,,,,,,执行后台命令,,,,,
2023-05-09 00:24:23,主世界,Noahland109,-62,66,-62,进入服务器,,,,,xuid=-5679457212992145350
2023-05-09 00:37:54,,Liten PanJun,,,,开始进服,,,,,xuid=2535423745242272
2023-05-09 00:38:33,主世界,Liten PanJun,-91,65,135,进入服务器,,,,,xuid=2535423745242272
2023-05-09 00:38:41,,Liten PanJun,,,,离开服务器,,,,,
2023-05-09 01:23:47,,HaoYveDangKong,,,,开始进服,,,,,xuid=2535454969368316
2023-05-09 01:24:25,,HaoYveDangKong,,,,离开服务器,,,,,
2023-05-09 01:24:45,,HaoYveDangKong,,,,开始进服,,,,,xuid=2535454969368316
2023-05-09 01:25:16,主世界,HaoYveDangKong,-245,49,-175,进入服务器,,,,,xuid=2535454969368316
2023-05-09 01:25:29,主世界,HaoYveDangKong,-244,50,-176,使用物品点击方块,minecraft:stone,-247,47,-175,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:25:29,主世界,HaoYveDangKong,-244,50,-176,放置方块,minecraft:stone,-247,47,-175,
2023-05-09 01:25:31,主世界,HaoYveDangKong,-245,50,-176,使用物品,铁镐 +4 250,,,,类型：minecraft:iron_pickaxe
2023-05-09 01:25:31,主世界,HaoYveDangKong,-245,50,-176,破坏方块,minecraft:stone,-247,47,-176,
2023-05-09 01:25:31,主世界,HaoYveDangKong,-245,50,-176,使用物品,铁镐 +4 250,,,,类型：minecraft:iron_pickaxe
2023-05-09 01:25:33,主世界,HaoYveDangKong,-245,50,-176,使用物品点击方块,minecraft:stone,-247,47,-175,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:25:33,主世界,HaoYveDangKong,-245,50,-176,放置方块,minecraft:stone,-247,47,-175,
2023-05-09 01:25:35,主世界,HaoYveDangKong,-245,50,-176,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:36,主世界,HaoYveDangKong,-245,50,-176,破坏方块,minecraft:stone,-247,47,-176,
2023-05-09 01:25:41,主世界,HaoYveDangKong,-245,50,-176,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:41,主世界,HaoYveDangKong,-244,50,-176,捡起物品,圆石,-246,48,-175,1个
2023-05-09 01:25:43,主世界,HaoYveDangKong,-246,49,-176,捡起物品,花岗岩,-246,47,-175,1个
2023-05-09 01:25:44,主世界,HaoYveDangKong,-247,48,-176,捡起物品,圆石,-246,46,-177,1个
2023-05-09 01:25:44,主世界,HaoYveDangKong,-247,48,-176,捡起物品,花岗岩,-247,46,-176,1个
2023-05-09 01:25:44,主世界,HaoYveDangKong,-247,48,-176,捡起物品,圆石,-247,46,-174,1个
2023-05-09 01:25:44,主世界,HaoYveDangKong,-247,48,-176,捡起物品,圆石,-246,46,-176,1个
2023-05-09 01:25:49,主世界,HaoYveDangKong,-245,49,-175,使用物品点击方块,minecraft:stone,-248,47,-177,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:25:49,主世界,HaoYveDangKong,-245,49,-175,放置方块,minecraft:stone,-248,47,-177,
2023-05-09 01:25:51,主世界,HaoYveDangKong,-245,49,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:52,主世界,HaoYveDangKong,-245,49,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:53,主世界,HaoYveDangKong,-245,49,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:54,主世界,HaoYveDangKong,-245,49,-175,破坏方块,minecraft:stone,-248,48,-176,
2023-05-09 01:25:55,主世界,HaoYveDangKong,-245,49,-175,捡起物品,圆石,-246,47,-177,1个
2023-05-09 01:25:55,主世界,HaoYveDangKong,-246,49,-175,捡起物品,圆石,-247,47,-175,1个
2023-05-09 01:25:55,主世界,HaoYveDangKong,-246,49,-175,捡起物品,圆石,-248,47,-175,1个
2023-05-09 01:25:56,主世界,HaoYveDangKong,-246,49,-175,捡起物品,圆石,-248,47,-175,1个
2023-05-09 01:25:56,主世界,HaoYveDangKong,-247,48,-175,捡起物品,圆石,-248,47,-175,1个
2023-05-09 01:25:56,主世界,HaoYveDangKong,-247,48,-175,捡起物品,圆石,-248,47,-177,1个
2023-05-09 01:25:57,主世界,HaoYveDangKong,-246,48,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:25:58,主世界,HaoYveDangKong,-246,48,-175,使用物品点击方块,minecraft:stone,-249,47,-176,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:25:58,主世界,HaoYveDangKong,-246,48,-175,放置方块,minecraft:stone,-249,47,-176,
2023-05-09 01:25:59,主世界,HaoYveDangKong,-246,48,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:26:00,主世界,HaoYveDangKong,-246,48,-175,破坏方块,minecraft:stone,-248,47,-176,
2023-05-09 01:26:01,主世界,HaoYveDangKong,-246,48,-175,捡起物品,圆石,-247,46,-174,1个
2023-05-09 01:26:01,主世界,HaoYveDangKong,-247,48,-175,捡起物品,圆石,-248,46,-177,1个
2023-05-09 01:26:01,主世界,HaoYveDangKong,-247,48,-175,捡起物品,花岗岩,-248,46,-174,1个
2023-05-09 01:26:03,主世界,HaoYveDangKong,-246,48,-175,使用物品点击方块,minecraft:stone,-249,46,-177,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:26:03,主世界,HaoYveDangKong,-246,48,-175,放置方块,minecraft:stone,-249,46,-177,
2023-05-09 01:26:04,主世界,HaoYveDangKong,-246,48,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:26:05,主世界,HaoYveDangKong,-246,48,-175,破坏方块,minecraft:stone,-249,46,-176,
2023-05-09 01:26:06,主世界,HaoYveDangKong,-246,48,-175,捡起物品,圆石,-248,46,-175,1个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-247,48,-175,捡起物品,花岗岩,-248,46,-176,1个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-247,48,-175,捡起物品,圆石,-248,46,-176,1个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-248,47,-175,捡起物品,圆石,-248,45,-176,2个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-248,47,-175,捡起物品,花岗岩,-247,45,-175,1个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-248,47,-175,捡起物品,圆石,-248,45,-174,1个
2023-05-09 01:26:06,主世界,HaoYveDangKong,-248,47,-175,捡起物品,圆石,-249,45,-175,1个
2023-05-09 01:26:08,主世界,HaoYveDangKong,-247,47,-175,使用物品点击方块,minecraft:stone,-250,45,-177,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:26:08,主世界,HaoYveDangKong,-247,47,-175,放置方块,minecraft:stone,-250,45,-177,
2023-05-09 01:26:09,主世界,HaoYveDangKong,-247,47,-175,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:26:10,主世界,HaoYveDangKong,-247,47,-175,破坏方块,minecraft:stone,-250,45,-176,
2023-05-09 01:26:11,主世界,HaoYveDangKong,-247,47,-175,捡起物品,圆石,-249,45,-174,1个
2023-05-09 01:26:11,主世界,HaoYveDangKong,-247,47,-175,捡起物品,圆石,-249,45,-175,1个
2023-05-09 01:26:11,主世界,HaoYveDangKong,-248,47,-175,捡起物品,花岗岩,-249,45,-174,1个
2023-05-09 01:26:12,主世界,HaoYveDangKong,-248,47,-175,捡起物品,圆石,-247,46,-177,1个
2023-05-09 01:26:12,主世界,HaoYveDangKong,-248,47,-175,捡起物品,圆石,-249,45,-177,1个
2023-05-09 01:26:12,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-250,44,-177,1个
2023-05-09 01:26:12,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-249,44,-175,2个
2023-05-09 01:26:12,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-249,44,-175,1个
2023-05-09 01:26:13,主世界,HaoYveDangKong,-249,46,-176,使用物品点击方块,minecraft:stone,-251,44,-177,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:26:13,主世界,HaoYveDangKong,-249,46,-176,放置方块,minecraft:stone,-251,44,-177,
2023-05-09 01:26:16,主世界,HaoYveDangKong,-249,46,-176,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:26:17,主世界,HaoYveDangKong,-249,46,-176,破坏方块,minecraft:stone,-251,45,-176,
2023-05-09 01:26:18,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-250,46,-176,1个
2023-05-09 01:26:18,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-250,45,-175,1个
2023-05-09 01:26:18,主世界,HaoYveDangKong,-249,46,-176,捡起物品,圆石,-251,44,-176,1个
2023-05-09 01:26:19,主世界,HaoYveDangKong,-249,45,-176,捡起物品,圆石,-249,43,-176,2个
2023-05-09 01:26:22,主世界,HaoYveDangKong,-249,45,-176,使用物品点击方块,minecraft:stone,-253,43,-176,使用物品：花岗岩 类型：minecraft:stone
2023-05-09 01:26:22,主世界,HaoYveDangKong,-249,45,-176,放置方块,minecraft:stone,-253,43,-176,
2023-05-09 01:26:23,主世界,HaoYveDangKong,-249,45,-176,使用物品,Copper Hammer
§bDiamond§r,,,,类型：strat:hammer_65_2
2023-05-09 01:26:24,主世界,HaoYveDangKong,-249,45,-176,破坏方块,minecraft:stone,-252,43,-176,
2023-05-09 01:26:25,主世界,HaoYveDangKong,-249,45,-176,捡起物品,火把 14,-250,45,-175,1个
2023-05-09 01:26:25,主世界,HaoYveDangKong,-250,45,-176,捡起物品,圆石,-251,44,-176,1个
2023-05-09 01:26:25,主世界,HaoYveDangKong,-250,45,-176,捡起物品,圆石,-251,44,-174,3个
2023-05-09 01:26:27,主世界,HaoYveDangKong,-250,44,-176,捡起物品,圆石,-251,42,-175,1个
2023-05-09 01:26:27,主世界,HaoYveDangKong,-250,44,-176,捡起物品,花岗岩,-251,42,-176,1个
2023-05-09 01:26:27,主世界,HaoYveDangKong,-250,44,-176,使用物品点击方块,minecraft:stone,-251,41,-176,使用物品：火把 14 类型：minecraft:torch
2023-05-09 01:26:27,主世界,HaoYveDangKong,-250,44,-176,放置方块,minecraft:stone,-251,41,-176,
2023-05-09 01:26:28,主世界,HaoYveDangKong,-251,44,-176,捡起物品,圆石,-252,42,-177,3个
2023-05-09 01:26:28,主世界,HaoYveDangKong,-251,44,-176,捡起物品,圆石,-252,42,-176,1个
2023-05-09 01:26:28,主世界,HaoYveDangKong,-251,44,-176,捡起物品,圆石,-250,44,-174,1个
2023-05-09 01:26:28,主世界,HaoYveDangKong,-252,43,-176,捡起物品,圆石,-251,41,-175,1个
2023-05-09 01:26:28,主世界,HaoYveDangKong,-253,42,-175,捡起物品,圆石,-252,40,-175,1个
2023-05-09 01:26:30,主世界,HaoYveDangKong,-253,42,-175,使用物品点击方块,minecraft:stone,-255,37,-176,使用物品：火把 14 类型：minecraft:torch
2023-05-09 01:26:30,主世界,HaoYveDangKong,-253,42,-175,放置方块,minecraft:stone,-255,37,-176,
2023-05-09 01:26:31,主世界,HaoYveDangKong,-253,41,-175,破坏方块,minecraft:torch,-255,40,-176,
2023-05-09 01:26:32,主世界,HaoYveDangKong,-253,41,-175,捡起物品,火把 14,-255,40,-176,1个
2023-05-09 01:26:34,主世界,HaoYveDangKong,-257,37,-176,使用物品点击方块,minecraft:dirt,-259,33,-176,使用物品：火把 14 类型：minecraft:torch
2023-05-09 01:26:34,主世界,HaoYveDangKong,-257,37,-176,放置方块,minecraft:dirt,-259,33,-176,
2023-05-09 01:26:35,主世界,HaoYveDangKong,-258,37,-176,破坏方块,minecraft:torch,-259,36,-176,
2023-05-09 01:26:36,主世界,HaoYveDangKong,-259,36,-176,捡起物品,火把 14,-258,36,-175,1个
2023-05-09 01:26:37,主世界,HaoYveDangKong,-262,33,-176,使用物品点击方块,minecraft:stone,-263,29,-176,使用物品：火把 14 类型：minecraft:torch
2023-05-09 01:26:37,主世界,HaoYveDangKong,-262,33,-176,放置方块,minecraft:stone,-263,29,-176,
2023-05-09 01:26:40,主世界,HaoYveDangKong,-262,33,-176,破坏方块,minecraft:torch,-263,32,-176,
2023-05-09 01:26:40,主世界,HaoYveDangKong,-262,33,-176,捡起物品,火把 14,-262,32,-175,1个
2023-05-09 01:26:44,主世界,HaoYveDangKong,-265,30,-176,使用物品点击方块,minecraft:stone,-266,26,-176,使用物品：火把 14 类型：minecraft:torch
2023-05-09 01:26:44,主世界,HaoYveDangKong,-265,30,-176,放置方块,minecraft:stone,-266,26,-176,
2023-05-09 20:02:36,主世界,Noahland109,-62,66,-62,进入服务器,,,,,xuid=-16769281355824598811
